005              "005"
cubo              "Cubo BIOS"
cubybop           "Cuby Bop"
cuckoo            "Cuckoo"
cuckoou           "Cuckoo"
cue               "Cue"
cueball           "Cue Ball Wizard"
cueball2          "Cue Ball Wizard"
cueball3          "Cue Ball Wizard"
cuebrick          "Cue Brick"
cuebrickj         "Cue Brick"
cultname          "Seimei-Kantei-Meimei-Ki Cult Name"
cultures          "Jibun wo Migaku Culture School Mahjong Hen"
cuncino           "Capitan Uncino"
cuoreuno          "Cuore 1"
cuoreunoa         "Cuore 1"
cuoreunob         "Cuore 1"
cuoreunoc         "Cuore 1"
cuoreunod         "Cuore 1"
cuoreunoe         "Cuore 1"
cuoreunof         "Cuore 1"
cupfinal          "Taito Cup Finals"
cupsoc            "Seibu Cup Soccer"
cupsoca           "Seibu Cup Soccer"
cupsocb           "Seibu Cup Soccer"
cupsocs           "Seibu Cup Soccer :Selection:"
cupsocs2          "Seibu Cup Soccer :Selection:"
cupsocsb          "Seibu Cup Soccer :Selection:"
cupsocsb2         "Seibu Cup Soccer :Selection:"
cupsocsb3         "Seibu Cup Soccer :Selection:"
cupsocsb4         "Seibu Cup Soccer :Selection:"
curvebal          "Curve Ball"
cutefght          "Cute Fighter"
cutieq            "Cutie Q"
cv_10             "Cirqus Voltaire"
cv_11             "Cirqus Voltaire"
cv_13             "Cirqus Voltaire"
cv_14             "Cirqus Voltaire"
cv_20h            "Cirqus Voltaire"
cv_d52            "Cirqus Voltaire"
cvs2              "Capcom Vs. SNK 2 Mark Of The Millennium 2001"
cvs2mf            "Capcom Vs. SNK 2 Millionaire Fighting 2001"
cvsgd             "Capcom Vs. SNK Millennium Fight 2000 Pro"
cwheel            "Catherine Wheel"
cworld            "Capcom World"
cworld2j          "Adventure Quiz Capcom World 2"
cworld2ja         "Adventure Quiz Capcom World 2"
cworld2jb         "Adventure Quiz Capcom World 2"
cybattlr          "Cybattler"
cyberbal          "Cyberball"
cyberbal1         "Cyberball"
cyberbal2         "Cyberball"
cyberbal2p        "Cyberball 2072"
cyberbal2p1       "Cyberball 2072"
cyberbal2p2       "Cyberball 2072"
cyberbal2p3       "Cyberball 2072"
cyberbalp         "Cyberball"
cyberbalt         "Tournament Cyberball 2072"
cyberbalt1        "Tournament Cyberball 2072"
cyberlip          "Cyber-Lip"
cybertnk          "Cyber Tank"
cybots            "Cyberbots: Fullmetal Madness"
cybotsj           "Cyberbots: Fullmetal Madness"
cybotsjd          "Cyberbots: Fullmetal Madness"
cybotsu           "Cyberbots: Fullmetal Madness"
cybotsud          "Cyberbots: Fullmetal Madness"
cybrcomm          "Cyber Commando"
cybrcycc          "Cyber Cycles"
cybrnaut          "Cybernaut"
cybsled           "Cyber Sled"
cybsleda          "Cyber Sled"
cybstorm          "Cyberstorm"
cyclemb           "Cycle Maabou"
cycln_l1          "Cyclone"
cycln_l4          "Cyclone"
cycln_l5          "Cyclone"
cyclopes          "Cyclopes"
cyclopes1         "Cyclopes"
cyclshtg          "Cycle Shooting"
cyclwarr          "Cycle Warriors"
cyclwarra         "Cycle Warriors"
cyclwarrb         "Cycle Warriors"
cyvern            "Cyvern - The Dragon Weapons"
cyvernj           "Cyvern - The Dragon Weapons"
czeroize          "Zeroize"
czmon_13          "Crazy Monkey"
czmon_15          "Crazy Monkey"
czmon_16          "Crazy Monkey"
czmon_5           "Crazy Monkey"
czmon_7           "Crazy Monkey"
czmon_7a          "Crazy Monkey"
czmon_7b          "Crazy Monkey"
czmon_8           "Crazy Monkey"
czmon_8a          "Crazy Monkey"
czmon_8b          "Crazy Monkey"
czmon_8c          "Crazy Monkey"
czmon_8d          "Crazy Monkey)"
czmon_8e          "Crazy Monkey"
czmon_8f          "Crazy Monkey"
czmon_9           "Crazy Monkey"
czmon_9a          "Crazy Monkey"
czmon_9b          "Crazy Monkey"
czmon_9c          "Crazy Monkey"
d9final           "Dream 9 Final"
dacholer          "Dacholer"
dadandrn          "Kyukyoku Sentai Dadandarn"
dai2kaku          "Dai-Dai-Kakumei"
dai3wksi          "Dai 3 Wakusei"
daikaiju          "Daikaiju no Gyakushu"
daimakai          "Daimakaimura"
daimakair         "Daimakaimura"
daimyojn          "Mahjong Daimyojin [BET]"
daioh             "Daioh"
daioha            "Daioh"
daiohc            "Daioh"
daiohp            "Daioh"
daiohp2           "Daioh"
daireika          "Mahjong Daireikai"
dairesya          "Dai Ressya Goutou"
daisenpu          "Daisenpu"
daiskiss          "Daisu-Kiss"
daisyari          "Daisyarin [BET]"
daitorid          "Daitoride"
daitorida         "Daitoride"
daiyogen          "Mahjong Daiyogen"
dakar             "Dakar"
dakkochn          "DakkoChan House"
dalejr            "Dale Jr."
dambustr          "Dambusters"
dambustra         "Dambusters"
dambustruk        "Dambusters"
danceyes          "Dancing Eyes"
danceyesj         "Dancing Eyes"
danchih           "Danchi de Hanafuda"
danchiq           "Danchi de Quiz: Okusan Yontaku Desuyo!"
dangar            "Ufo Robo Dangar"
dangara           "Ufo Robo Dangar"
dangarb           "Ufo Robo Dangar"
dangarbt          "Ufo Robo Dangar"
dangarj           "Ufo Robo Dangar"
dangbar           "Dangerous Bar"
dangcurv          "Dangerous Curves"
dangcurvj         "Dangerous Curves"
dangerex          "Danger Express"
dangerz           "Danger Zone"
dangseed          "Dangerous Seed"
dankuga           "Dan-Ku-Ga"
daraku            "The Fallen Angels / Daraku Tenshi - The Fallen Angels"
darius            "Darius"
darius2           "Darius II"
darius2d          "Darius II"
darius2do         "Darius II"
dariuse           "Darius Extra Version"
dariusg           "Darius Gaiden - Silver Hawk"
dariusgj          "Darius Gaiden - Silver Hawk"
dariusgu          "Darius Gaiden - Silver Hawk"
dariusgx          "Darius Gaiden - Silver Hawk Extra Version"
dariusj           "Darius"
dariuso           "Darius"
dariusu           "Darius"
darkadv           "Dark Adventure"
darkedge          "Dark Edge"
darkedgej         "Dark Edge"
darkhleg          "Dark Horse Legend"
darkhors          "Dark Horse"
darkmist          "The Lost Castle In Darkmist"
darkplnt          "Dark Planet"
darkseal          "Dark Seal"
darkseal1         "Dark Seal"
darkseal2         "Dark Seal 2"
darksealj         "Dark Seal"
darkshad          "Dark Shadow"
darktowr          "Dark Tower"
darkwar           "Dark Warrior"
darthvdr          "Darth Vader"
darwin            "Darwin 4078"
dashhero          "Minna Ganbare! Dash Hero"
dassault          "Desert Assault"
dassault4         "Desert Assault"
dayto2pe          "Daytona USA 2 Power Edition"
daytona           "Daytona USA"
daytona2          "Daytona USA 2"
daytona93         "Daytona USA"
daytonagtx        "Daytona USA"
daytonam          "Daytona USA"
daytonas          "Daytona USA"
daytonase         "Daytona USA Special Edition"
daytonat          "Daytona USA"
daytonata         "Daytona USA"
dazzler           "Dazzler"
dbc               "Da Ban Cheng"
dblagent          "Double Agent"
dblaxle           "Double Axle"
dblaxleu          "Double Axle"
dblaxleul         "Double Axle"
dblchal           "Double Challenge"
dblchalc1         "Double Challenge"
dblchald1         "Double Challenge"
dblchalo          "Double Challenge"
dblchalv1         "Double Challenge"
dblcrown          "Double Crown"
dbldolph          "Double Dolphins"
dbldolphq         "Double Dolphins"
dbldynj           "The Double Dynamites"
dbldynu           "The Double Dynamites"
dblewing          "Double Wings"
dblewinga         "Double Wings"
dblewingb         "Double Wings"
dblplay           "Super Baseball Double Play Home Run Derby"
dblpoint          "Double Point"
dblpointd         "Double Point"
dbreed            "Dragon Breed"
dbreedjm72        "Dragon Breed"
dbreedm72         "Dragon Breed"
dbz               "Dragon Ball Z"
dbz2              "Dragon Ball Z 2 - Super Battle"
dbz2bl            "Dragon Ball Z 2 - Super Battle"
dbza              "Dragon Ball Z"
dbzvrvs           "Dragon Ball Z V.R.V.S."
dcclub            "Dynamic Country Club"
dcclubfd          "Dynamic Country Club"
dcclubj           "Dynamic Country Club"
dcheese           "Double Cheese"
dcon              "D-Con"
dcrown            "Dream Crown"
dcrowna           "Dream Crown"
dd_l2             "Dr. Dude"
dd_lu1            "Dr. Dude Europe"
dd_p06            "Dr. Dude"
dd_p6             "Dr. Dude"
dd_p7             "Dr. Dude"
dday              "D-Day"
ddayc             "D-Day"
ddaydoo           "Chulgyeok D-Day"
ddayjlc           "D-Day"
ddayjlca          "D-Day"
ddboy             "Dam Dam Boy"
ddboya            "Dam Dam Boy"
ddcrew            "D. D. Crew"
ddcrew1           "D. D. Crew"
ddcrew1d          "D. D. Crew"
ddcrew2           "D. D. Crew"
ddcrew2d          "D. D. Crew"
ddcrewbl          "D. D. Crew"
ddcrewd           "D. D. Crew"
ddcrewj           "D. D. Crew"
ddcrewj2          "D. D. Crew"
ddcrewj2d         "D. D. Crew"
ddcrewjd          "D. D. Crew"
ddcrewu           "D. D. Crew"
ddcrewud          "D. D. Crew"
ddealer           "Double Dealer"
ddenlovj          "Don Den Lover Vol. 1 - Shiro Kuro Tsukeyo!"
ddenlovr          "Don Den Lover Vol. 1"
ddenlovrb         "Don Den Lover Vol. 1 - Heukbaeg-euro Jeonghaja"
ddenlovrk         "Don Den Lover Vol. 1 - Heukbaeg-euro Jeonghaja"
ddonpach          "DoDonPachi"
ddonpacha         "DoDonPachi"
ddonpachj         "DoDonPachi"
ddp2              "DoDonPachi II - Bee Storm"
ddp2100           "DoDonPachi II - Bee Storm"
ddp2100c          "DoDonPachi - Feng Bao"
ddp2100hk         "DoDonPachi II - Fung Bou"
ddp2100j          "DoDonPachi II"
ddp2100k          "DoDonPachi II - Bee Storm"
ddp2100t          "DoDonPachi - Feng Bao"
ddp2101           "DoDonPachi II - Bee Storm"
ddp2101c          "DoDonPachi - Feng Bao"
ddp2101hk         "DoDonPachi II - Fung Bou"
ddp2101j          "DoDonPachi II"
ddp2101k          "DoDonPachi II - Bee Storm"
ddp2101t          "DoDonPachi - Feng Bao"
ddp2c             "DoDonPachi - Feng Bao"
ddp2hk            "DoDonPachi II - Fung Bou"
ddp2j             "DoDonPachi II"
ddp2k             "DoDonPachi II - Bee Storm"
ddp2t             "DoDonPachi - Feng Bao"
ddp3              "DoDonPachi III"
ddpdfk            "DoDonPachi Dai-Fukkatsu Ver 1.5"
ddpdfk10          "DoDonPachi Dai-Fukkatsu Ver 1.0"
ddpdoj            "DoDonPachi Dai-Ou-Jou"
ddpdoja           "DoDonPachi Dai-Ou-Jou"
ddpdojb           "DoDonPachi Dai-Ou-Jou"
ddpdojblk         "DoDonPachi Dai-Ou-Jou Black Label"
ddpdojblka        "DoDonPachi Dai-Ou-Jou Black Label"
ddpdojblkb        "DoDonPachi Dai-Ou-Jou Black Label"
ddpdojblkbl       "DoDonPachi Dai-Ou-Jou Black Label"
ddpdojp           "DoDonPachi Dai-Ou-Jou"
ddpdojt           "DoDonPachi Dai-Ou-Jou Tamashii"
ddpsdoj           "DoDonPachi SaiDaiOuJou"
ddr2m             "Dance Dance Revolution 2nd Mix"
ddr2mc            "Dance Dance Revolution 2nd Mix with beatmaniaIIDX CLUB VERSiON"
ddr2mc2           "Dance Dance Revolution 2nd Mix with beatmaniaIIDX substream CLUB VERSiON 2"
ddr2ml            "Dance Dance Revolution 2nd Mix - Link Ver"
ddr2mla           "Dance Dance Revolution 2nd Mix - Link Ver"
ddr3ma            "Dance Dance Revolution 3rd Mix"
ddr3mj            "Dance Dance Revolution 3rd Mix"
ddr3mk            "Dance Dance Revolution 3rd Mix - Ver.Korea2"
ddr3mka           "Dance Dance Revolution 3rd Mix - Ver.Korea"
ddr3mp            "Dance Dance Revolution 3rd Mix Plus"
ddr4m             "Dance Dance Revolution 4th Mix"
ddr4mj            "Dance Dance Revolution 4th Mix"
ddr4mp            "Dance Dance Revolution 4th Mix Plus"
ddr4mps           "Dance Dance Revolution 4th Mix Plus Solo"
ddr4ms            "Dance Dance Revolution 4th Mix Solo"
ddr4msj           "Dance Dance Revolution 4th Mix Solo"
ddr5m             "Dance Dance Revolution 5th Mix"
ddra              "Dance Dance Revolution"
ddragon           "Double Dragon"
ddragon2          "Double Dragon II - The Revenge"
ddragon2b         "Double Dragon II - The Revenge"
ddragon2j         "Double Dragon II - The Revenge"
ddragon2u         "Double Dragon II - The Revenge"
ddragon3          "Double Dragon 3 - The Rosetta Stone"
ddragon3b         "Double Dragon 3 - The Rosetta Stone"
ddragon3j         "Double Dragon 3 - The Rosetta Stone"
ddragon3p         "Double Dragon 3 - The Rosetta Stone"
ddragon6809       "Double Dragon"
ddragon6809a      "Double Dragon"
ddragonb          "Double Dragon"
ddragonb2         "Double Dragon"
ddragonba         "Double Dragon"
ddragonu          "Double Dragon"
ddragonua         "Double Dragon"
ddragonub         "Double Dragon"
ddragonw          "Double Dragon"
ddragonw1         "Double Dragon"
ddrbocd           "Dance Dance Revolution Best of Cool Dancers"
ddream95          "Dunk Dream '95"
ddrextrm          "Dance Dance Revolution Extreme"
ddribble          "Double Dribble"
ddribblep         "Double Dribble"
ddrj              "Dance Dance Revolution - Internet Ranking Ver"
ddrja             "Dance Dance Revolution"
ddrjb             "Dance Dance Revolution"
ddrkara           "Dance Dance Revolution Karaoke Mix"
ddrkids           "Dance Dance Revolution Kids"
ddrmax            "DDR Max - Dance Dance Revolution 6th Mix"
ddrmax2           "DDR Max 2 - Dance Dance Revolution 7th Mix"
ddrs2k            "Dance Dance Revolution Solo 2000"
ddrs2kj           "Dance Dance Revolution Solo 2000"
ddrsbm            "Dance Dance Revolution Solo Bass Mix"
ddru              "Dance Dance Revolution"
ddrusa            "Dance Dance Revolution USA"
ddsom             "Dungeons & Dragons: Shadow over Mystara"
ddsoma            "Dungeons & Dragons: Shadow over Mystara"
ddsomar1          "Dungeons & Dragons: Shadow over Mystara"
ddsomb            "Dungeons & Dragons: Shadow over Mystara"
ddsomh            "Dungeons & Dragons: Shadow over Mystara"
ddsomj            "Dungeons & Dragons: Shadow over Mystara"
ddsomjr1          "Dungeons & Dragons: Shadow over Mystara"
ddsomjr2          "Dungeons & Dragons: Shadow over Mystara"
ddsomr1           "Dungeons & Dragons: Shadow over Mystara"
ddsomr2           "Dungeons & Dragons: Shadow over Mystara"
ddsomr3           "Dungeons & Dragons: Shadow over Mystara"
ddsomu            "Dungeons & Dragons: Shadow over Mystara"
ddsomud           "Dungeons & Dragons: Shadow over Mystara"
ddsomur1          "Dungeons & Dragons: Shadow over Mystara"
ddtod             "Dungeons & Dragons: Tower of Doom"
ddtoda            "Dungeons & Dragons: Tower of Doom"
ddtodar1          "Dungeons & Dragons: Tower of Doom"
ddtodd            "Dungeons & Dragons: Tower of Doom"
ddtodh            "Dungeons & Dragons: Tower of Doom"
ddtodhr1          "Dungeons & Dragons: Tower of Doom"
ddtodhr2          "Dungeons & Dragons: Tower of Doom"
ddtodj            "Dungeons & Dragons: Tower of Doom"
ddtodjr1          "Dungeons & Dragons: Tower of Doom"
ddtodjr2          "Dungeons & Dragons: Tower of Doom"
ddtodr1           "Dungeons & Dragons: Tower of Doom"
ddtodu            "Dungeons & Dragons: Tower of Doom"
ddtodur1          "Dungeons & Dragons: Tower of Doom"
ddungeon          "Dangerous Dungeons"
ddungeone         "Dangerous Dungeons"
ddux              "Dynamite Dux"
ddux1             "Dynamite Dux"
dduxbl            "Dynamite Dux"
dduxd             "Dynamite Dux"
dduxj             "Dynamite Dux"
dduxjd            "Dynamite Dux"
ddz               "Dou Di Zhu"
deadang           "Dead Angle"
deadconx          "Dead Connection"
deadconxj         "Dead Connection"
deadeye           "Dead Eye"
deadweap          "Deadly Weapon"
dealer            "The Dealer"
dealracl          "The Dealer"
deathbrd          "Death Brade"
deathcox          "Death Crimson OX"
deathcoxj         "Death Crimson OX"
deathcoxo         "Death Crimson OX"
deathrac          "Death Race [TTL]"
deathsm2          "Deathsmiles II: Makai no Merry Christmas"
deathsml          "Deathsmiles"
decathlt          "Decathlete"
decathlto         "Decathlete"
decocass          "DECO Cassette System"
decomult          "Deco Cassette System Multigame"
deepfrz           "Deep Freeze"
deepfrzu          "Deep Freeze"
deerhunt          "Deer Hunting USA V4.3"
deerhunta         "Deer Hunting USA V4.2"
deerhuntb         "Deer Hunting USA V4.0"
deerhuntc         "Deer Hunting USA V3"
deerhuntd         "Deer Hunting USA V2"
deerhunte         "Deer Hunting USA V1"
deerhuntj         "Deer Hunting USA V4.4.1"
defcmnd           "Defense Command"
defence           "Defence Command"
defender          "Defender"
defenderb         "Defender"
defenderg         "Defender"
defenderj         "T.T Defender"
defenderw         "Defender"
defense           "Defense"
defenseb          "Defense"
defndjeu          "Defender"
deltabel          "Delta Belle"
deltaqn           "Delta Queen"
deltrace          "Delta Race"
deluxe4u          "Deluxe 4 U"
deluxe5           "Deluxe 5"
deluxe5a          "Deluxe 5"
deluxe5b          "Deluxe 5"
demndrgn          "Demons & Dragons"
demoderb          "Demolition Derby"
demoderbc         "Demolition Derby"
demoderm          "Demolition Derby"
demofist          "Demolish Fist"
demon             "Demon"
demoneye          "Demoneye-X"
demonwld          "Demon's World / Horror Story"
demonwld1         "Demon's World / Horror Story"
demonwld2         "Demon's World / Horror Story"
demonwld3         "Demon's World / Horror Story"
demonwld4         "Demon's World / Horror Story"
dendego           "Densha de GO!"
dendego2          "Densha de GO! 2 Kousoku-hen"
dendego23k        "Densha de GO! 2 Kousoku-hen 3000-bandai"
dendego3          "Densha de GO 3! Tsukin-hen"
dendegox          "Densha de GO! EX"
denjinmk          "Denjin Makai"
denjinmka         "Denjin Makai"
denseib           "Ghost Chaser Densei"
denseib2          "Ghost Chaser Densei"
depthch           "Depthcharge"
depthcho          "Depthcharge"
derbyo2k          "Derby Owners Club 2000 Ver.2"
derbyoc           "Derby Owners Club"
derbyoc2          "Derby Owners Club II Ver.2.1"
derbyocw          "Derby Owners Club World Edition EX"
deroon            "Deroon DeroDero"
deroon2           "Deroon DeroDero / Tecmo Stackers"
desert            "Desert Tank"
desertbr          "Desert Breaker"
desertbrd         "Desert Breaker"
desertbrj         "Desert Breaker"
desertbrjd        "Desert Breaker"
desertdn          "Desert Dan"
desertgu          "Desert Gun"
desertwr          "Desert War / Wangan Sensou"
destdrby          "Destruction Derby [TTL]"
desterth          "Destination Earth"
destiny           "Destiny - The Fortuneteller"
destroyr          "Destroyer"
destroyr1         "Destroyer"
destryer          "Destroyer"
destryera         "Destroyer"
detatwin          "Detana!! Twin Bee"
detest            "Data East Test Chip"
deucesw2          "Deuces Wild 2 - American Heritage"
devilfsg          "Devil Fish"
devilfsh          "Devil Fish"
devilw            "Devil World"
devstors          "Devastators"
devstors2         "Devastators"
devstorsv         "Devastators"
devstorsx         "Devastators"
devzone           "Devil Zone"
devzone2          "Devil Zone"
df_djpkr          "Double Joker Poker"
dfeverg           "Dancing Fever Gold"
dfeveron          "Dangun Feveron"
dfjail            "The Destroyer From Jail"
dfkbl             "DoDonPachi Dai-Fukkatsu Black Label"
dfndr_l4          "Defender"
dfruit            "Fruit Dream"
dh_lf2            "Dirty Harry"
dh_lx2            "Dirty Harry"
dharma            "Dharma Doujou"
dharmag           "Dharma Doujou"
dharmaj           "Dharma Doujou"
dharmak           "Dharma Doujou"
dhunting          "Dream Hunting"
di4ever           "Diamonds Forever"
diaelite          "Diana Elite"
diamdest          "Diamond Destiny"
diamdove          "Diamond Dove"
diamhrts          "Diamonds & Hearts - Power Pay"
diamond           "Diamond Run"
diamondking       "Diamond King"
diamondkinp       "Diamond King"
diamondp          "Diamond Lady"
diamondpf         "Diamond Lady"
diamondpg         "Diamond Lady"
dibif727          "Diana Bifuca"
dibif743          "Diana Bifuca"
dibifuca          "Diana Bifuca"
diehard           "Die Hard Arcade"
dietgo            "Diet Go Go"
dietgoe           "Diet Go Go"
dietgoj           "Diet Go Go"
dietgou           "Diet Go Go"
digdug            "Dig Dug"
digdug1           "Dig Dug"
digdug2           "Dig Dug II"
digdug2o          "Dig Dug II"
digdugat          "Dig Dug"
digdugat1         "Dig Dug"
digger            "Digger"
diggerc           "Digger"
diggerma          "Digger Man"
digsid            "Dig Dug"
dimahoo           "Dimahoo"
dimahoou          "Dimahoo"
dimahoud          "Dimahoo"
dimeye            "Diamond Eyes"
dimeyece          "Diamond Eyes - Cash Express"
dimtouch          "Diamond Touch"
dindice           "Dice game"
diner_f2          "Diner French"
diner_l1          "Diner Europe"
diner_l2          "Diner Europe"
diner_l3          "Diner"
diner_l4          "Diner"
diner_p0          "Diner"
dingo             "Dingo"
dingoe            "Dingo"
dino              "Cadillacs and Dinosaurs"
dinoa             "Cadillacs and Dinosaurs"
dinodino          "Dino Dino"
dinoeggs          "Dinosaur Eggs"
dinohunt          "Dinosaur Hunter"
dinoj             "Cadillacs: Kyouryuu Shin Seiki"
dinoki25          "Dinosaur King - D-Team VS. the Alpha Fortress"
dinoki4           "Kodai Ouja Kyouryuu King - Mezame yo! Arata-naru Chikara!!"
dinokich          "Konglongwang - D-Kids VS Alpha Yaosai"
dinoking          "Dinosaur King"
dinokior          "Dinosaur King - Operation: Dinosaur Rescue"
dinopic           "Cadillacs and Dinosaurs"
dinopic2          "Cadillacs and Dinosaurs"
dinopic3          "Cadillacs and Dinosaurs"
dinorex           "Dino Rex"
dinorexj          "Dino Rex"
dinorexu          "Dino Rex"
dinosa6           "Dinosaur"
dinou             "Cadillacs and Dinosaurs"
diola827          "Diana Olakoa"
diolakoa          "Diana Olakoa"
dirtdash          "Dirt Dash"
dirtdasha         "Dirt Dash"
dirtdashj         "Dirt Dash"
dirtdvls          "Dirt Devils"
dirtdvlsau        "Dirt Devils"
dirtdvlsg         "Dirt Devils"
dirtdvlsj         "Dirt Devils"
dirtdvlsu         "Dirt Devils"
dirtfoxj          "Dirt Fox"
dirtypig          "Dirty Pigskin Football"
disco             "Disco No.1"
disco79           "Disco '79"
disco_l1          "Disco Fever"
discoboy          "Disco Boy"
discoboyp         "Disco Boy"
discodan          "Disco Dancing"
discof            "Disco No.1"
ditrio            "Diamond Trio"
divebomb          "Kyuukoukabakugekitai - Dive Bomber Squad"
diverboy          "Diver Boy"
djboy             "DJ Boy"
djboyj            "DJ Boy"
djboyja           "DJ Boy"
djboyu            "DJ Boy"
djboyua           "DJ Boy"
dkbanana          "Donkey Kong Banana Kingdom"
dkbanans          "Donkey Kong Banana Kingdom"
dkbattle          "Dinoking Battle"
dkgensan          "Daiku no Gensan"
dkgensanm72       "Daiku no Gensan"
dkgensanm82       "Daiku no Gensan"
dking             "Donkey King"
dkingjr           "Donkey King Jr."
dkkids            "Dinoking Kids"
dkmb              "Donkey Kong / Donkey Kong Jr / Mario Bros"
dkong             "Donkey Kong"
dkong3            "Donkey Kong 3"
dkong3abl         "Donkey Kong 3"
dkong3b           "Donkey Kong 3"
dkong3hs          "Donkey Kong High Score Kit"
dkong3j           "Donkey Kong 3"
dkongddk          "Double Donkey Kong"
dkongf            "Donkey Kong Foundry"
dkonghrd          "Donkey Kong"
dkonghs           "Donkey Kong High Score Kit"
dkongike          "Donkey Kong/DK"
dkongj            "Donkey Kong"
dkongjnrj         "Donkey Kong Junior"
dkongjo           "Donkey Kong"
dkongjo1          "Donkey Kong"
dkongjr           "Donkey Kong Junior"
dkongjr2          "Donkey Kong Junior"
dkongjrb          "Donkey Kong Jr."
dkongjrc          "Donkey Kong/JR"
dkongjre          "Donkey Kong Junior"
dkongjrhs         "Donkey Junior High Score Kit"
dkongjrj          "Donkey Kong Jr."
dkongjrm          "Donkey Kong Jr."
dkongjrmc         "Donkey Kong Jr."
dkongjrpb         "Donkey Kong Junior"
dkongo            "Donkey Kong"
dkongpe           "Donkey Kong: Pauline Edition Rev 5"
dkongx            "Donkey Kong II: Jumpman Returns"
dkongx11          "Donkey Kong II: Jumpman Returns"
dlair             "Dragon's Lair"
dlair2            "Dragon's Lair 2: Time Warp"
dlair2_200        "Dragon's Lair 2: Time Warp"
dlair2_211        "Dragon's Lair 2: Time Warp"
dlair2_300        "Dragon's Lair 2: Time Warp"
dlair2_312        "Dragon's Lair 2: Time Warp"
dlair2_314        "Dragon's Lair 2: Time Warp"
dlair2_315        "Dragon's Lair 2: Time Warp"
dlair2_315s       "Dragon's Lair 2: Time Warp"
dlair2_316e       "Dragon's Lair 2: Time Warp"
dlair2_317e       "Dragon's Lair 2: Time Warp"
dlair2_318        "Dragon's Lair 2: Time Warp"
dlair2_319e       "Dragon's Lair 2: Time Warp"
dlair2_319s       "Dragon's Lair 2: Time Warp"
dlair_1           "Dragon's Lair"
dlair_2           "Dragon's Lair"
dlaira            "Dragon's Lair"
dlairb            "Dragon's Lair"
dlairc            "Dragon's Lair"
dlaird            "Dragon's Lair"
dlaire            "Dragon's Lair"
dlairf            "Dragon's Lair"
dland             "Dream Land / Super Dream Land"
dleague           "Dynamite League"
dleaguej          "Dynamite League"
dleuro            "Dragon's Lair"
dleuroalt         "Dragon's Lair"
dlital            "Dragon's Lair"
dm_h5             "Demolition Man"
dm_h6             "Demolition Man"
dm_la1            "Demolition Man"
dm_lx3            "Demolition Man"
dm_lx4            "Demolition Man"
dm_pa2            "Demolition Man"
dm_px5            "Demolition Man"
dmainevent        "Main Event"
dmdfever          "Diamond Fever"
dmndrby           "Diamond Derby"
dmndrbya          "Diamond Derby"
dmnfrnt           "Demon Front / Moyu Zhanxian"
dmnfrnt102        "Demon Front / Moyu Zhanxian"
dmnfrnt103        "Demon Front / Moyu Zhanxian"
dmnfrntpcb        "Demon Front V1.1 / Moyu Zhanxian V1.1"
dmodrbcc          "Demolition Derby [TTL]"
dmx               "Dance Maniax"
dmx2m             "Dance Maniax 2nd Mix"
dmx2majp          "Dance Maniax 2nd Mix Append J-Paradise"
dncfrks           "Dance Freaks"
dncsprt           "Dancing Spirit"
dngrtrck          "Danger Track"
dnmtdeka          "Dynamite Deka"
doa               "Dead or Alive"
doa2              "Dead or Alive 2"
doa2a             "Dead or Alive 2"
doa2m             "Dead or Alive 2 Millennium"
doaa              "Dead or Alive"
doab              "Dead or Alive"
doapp             "Dead Or Alive ++"
doappk            "Dead Or Alive ++"
dobouchn          "Dobou-Chan"
docastle          "Mr. Do's Castle"
docastle2         "Mr. Do's Castle"
docastleo         "Mr. Do's Castle"
dockman           "Dock Man"
dockmanb          "Dock Man"
dockmanc          "Dock Man"
dodgecty          "Dodge City"
dodgectya         "Dodge City"
dodgectyb         "Dodge City"
dodgectyc         "Dodge City"
dodgem            "Dodgem"
dodgeman          "Dodge Man"
dodghero          "Minna Atsumare! Dodge Hero"
dogfgt            "Acrobatic Dog-Fight"
dogfgtj           "But-ten Ohara's Suit-Cha Luck-a Dog-Fight"
dogfgtu           "Acrobatic Dog-Fight"
dogfight          "Dog Fight"
dogfightp         "Dog Fight"
dogosokb          "Dogou Souken"
dogosoke          "Dogou Souken"
dogpatch          "Dog Patch"
dogstdx           "dogstation Deluxe"
dogyuun           "Dogyuun"
dogyuuna          "Dogyuun"
dogyuunt          "Dogyuun"
dokaben           "Dokaben"
dokaben2          "Dokaben 2"
dokidoki          "Doki Doki Penguin Land"
dokodemo          "Doko Demo Issho: Toro's Fishing"
dokyusei          "Mahjong Doukyuusei"
dokyusp           "Mahjong Doukyuusei Special"
dollyptn          "Dolly Parton"
dolmen            "Dolmen"
dolphin           "Dolphin Blue"
dolphinp          "Dolphin's Pearl"
dolphntr          "Dolphin Treasure"
dolphntra         "Dolphin Treasure"
dolphntrb         "Dolphin Treasure"
dolphntrce        "Dolphin Treasure - Cash Express"
dolphntrcea       "Dolphin Treasure - Cash Express"
dolphntrceb       "Dolphin Treasure - Cash Express"
dolphntrql        "Dolphin Treasure"
dolphntru         "Dolphin Treasure"
domino            "Domino Man"
domino2           "Domino II"
dominob           "Domino Block"
dominobv2         "Domino Block ver.2"
dominos           "Dominos"
dominos4          "Dominos 4"
dommy             "Dommy"
doncdoon          "Hanabi de Doon! - Don-chan Puzzle"
dondenmj          "Don Den Mahjong [BET]"
dondokod          "Don Doko Don"
dondokodj         "Don Doko Don"
dondokodu         "Don Doko Don"
